dialogue_id; speaker; description;
Ses03F_script01_1;M;The male speaker shows emotional conflict and a desire for resolution. He is torn between family loyalty and personal happiness, struggling with past grief and responsibility. He expresses frustration and a need for honesty, but also care for others’ feelings. His tone reveals vulnerability, decisiveness about moving forward, and some impatience with avoidance.;
Ses03F_script01_1;F;The female speaker is cautious, emotionally protective, and somewhat resistant to change. She is concerned about maintaining family harmony and avoiding confrontation. She downplays harsh realities and tries to uphold hope or denial for the sake of others. She is pragmatic yet emotionally guarded, highlighting familial ties and tradition.;
Ses03F_script01_2;M;The male speaker (Joe) appears calm and rational, trying to soothe and de-escalate the intense emotions expressed by the female speaker. He is somewhat uncertain about the situation and tries to keep the conversation grounded, showing patience but also some detachment or confusion.;
Ses03F_script01_2;F;The female speaker (Kate) is emotional, passionate, and deeply invested in the faithfulness and intentions of another woman. She is protective, insistent, and vulnerable, expressing strong feelings of loyalty, belief, and despair. Her speech reveals a mix of strength and fragility.;
Ses03F_script01_3;M;The male speaker (Chris) shows a complex personality: he is tender and loving but burdened by past trauma and guilt from wartime losses. He is honest about his vulnerabilities and seeks emotional connection, yet struggles with shame and emotional repression. He is sincere but conflicted.;
Ses03F_script01_3;F;The female speaker (Annie) is caring, perceptive, and grounded. She balances affection with realism, encouraging openness and honesty. She recognizes the male's emotional struggles and wants a genuine relationship but is cautious, reflecting a strong sense of self and clear expectations.;
Ses03F_script02_1;M;M is enthusiastic, optimistic, and deeply fascinated by nature and unique phenomena. He tends to be talkative, reflective, and somewhat childlike in his excitement, often expressing wonder and a poetic appreciation for the event. He uses humor and self-deprecation and tries to engage F emotionally and intellectually. He values shared experiences and is persistent in convincing F to share his enthusiasm.;
Ses03F_script02_1;F;F appears pragmatic, skeptical, and emotionally reserved. She often responds minimally and seems disinterested or even annoyed by M's excitement. She expresses frustration with M’s possessiveness and the situation, emphasizing discomfort and lack of enthusiasm. Her comments suggest emotional fatigue or distancing, possibly indicating a conflict or disconnect in their relationship.;
Ses03F_script02_2;M;M remains hopeful and rationalizes the situation scientifically but struggles with F's skepticism. He attempts to understand her mood and maintain connection, showing concern about underlying emotional issues. M is patient but somewhat confused by F's attitude, trying to keep the conversation open and supportive.;
Ses03F_script02_2;F;F expresses deeper emotional frustration and disillusionment, revealing a sense of repeated disappointment and hopelessness. She feels stuck in a cycle of unmet expectations, and her resistance is less about the event and more about their relationship dynamics. Her tone is candid and defensive, signaling emotional distress masked by sarcasm and withdrawal.;
Ses03F_script03_1;M;A witty, flamboyant man who uses humor and flippancy to mask deeper emotions. He displays philosophical musings on love and death, showing a tendency to romanticize and trivialize serious subjects. Despite light-heartedness, he harbors deep attachment and vulnerability, occasionally expressing possessiveness and jealousy.;
Ses03F_script03_1;F;A passionate and reflective woman, who oscillates between romantic devotion and existential skepticism. She challenges her partner's flippant worldview with serious questions, yet indulges in playful banter and nostalgia. Shows affection but also expresses emotional fatigue and longing for deeper stability.;
Ses03F_script03_2;M;Jealous and insecure, often revisiting past grievances. His sarcasm and drinking hint at emotional dependency and defensiveness. He seeks control through arguments but also shows hurt and vulnerability. His wit turns biting under stress, revealing unresolved tension from the past relationship.;
Ses03F_script03_2;F;Assertive and emotionally resilient. She deflects accusations with sarcasm and refuses to be shamed. Exhibits independence and confidence, challenging double standards. Her tone suggests frustration but also emotional detachment, possibly from long-standing conflict and emotional exhaustion.;
Ses03M_impro01;M;Displays frustration and entitlement, insisting on special treatment. Becomes confrontational and verbally aggressive when challenged. Struggles with rules and reacts emotionally under stress.;
Ses03M_impro01;F;Maintains professionalism under pressure but becomes visibly frustrated. Attempts to enforce rules consistently despite provocation. Shows assertiveness when boundaries are crossed.;
Ses03M_impro02;M;Torn between duty and family. Shows emotional vulnerability and inner conflict. Expresses deep care but feels constrained by obligations and fear of career consequences.;
Ses03M_impro02;F;Emotionally expressive and distressed, she conveys feelings of abandonment, exhaustion, and desperation. She values emotional presence over financial security and demonstrates a strong desire for familial unity. Her insistence on priorities reflects a breaking point in the relationship.;
Ses03M_impro03;M;Enthusiastic, impulsive, and romantic, the male speaker is deeply invested in a spontaneous and unconventional engagement. He exhibits childlike excitement and a tendency to idealize love, making emotional decisions with little concern for practicality. Despite his age, he appears immature, relying on his parents and romanticizing young love, yet speaks with conviction and joy about his choices.;
Ses03M_impro03;F;Cynical and sarcastic, the female speaker is skeptical of the male's decisions and frequently challenges his romantic idealism. She acts as a voice of reason, questioning the rapid progression of the relationship and mocking the setting and presentation of the engagement. Her tone blends humor with concern, indicating both disbelief and genuine care.;
Ses03M_impro04;M;Intelligent and deeply frustrated, M struggles with a strong sense of disillusionment. Despite prestigious academic achievements, he feels stuck in underwhelming roles, causing emotional exhaustion and a loss of self-worth. He oscillates between sarcasm and despair, revealing vulnerability beneath his bravado. His sarcasm masks a yearning for recognition and purpose, but he feels trapped by societal expectations and personal disappointments.;
Ses03M_impro04;F;Supportive and grounded, F consistently tries to uplift M with practical advice and emotional reassurance. She shows empathy, patience, and concern—especially when M expresses suicidal thoughts. Although occasionally overwhelmed by M's negativity, she remains calm and encouraging, offering job leads and trying to rekindle his hope. Her steady demeanor highlights her emotional intelligence and resilience in the face of someone else's distress.;
Ses03M_impro05a;M;Highly agitated and emotionally charged, demonstrates impatience, sarcasm, and escalating frustration due to lost luggage tied to a personal crisis. Uses aggressive questioning and insults when feeling unheard.;
Ses03M_impro05a;F;Remains composed and professional under pressure, attempts to de-escalate the situation with empathy and procedural responses. Struggles to maintain authority while accommodating the customer's grief-driven anger.;
Ses03M_impro05b;M;Displays intense frustration and demands accountability. Expresses disbelief and sarcasm about the airline's service. Uses threats to push for immediate compensation and personalized resolution.;
Ses03M_impro05b;F;Polite and composed under pressure, attempts to de-escalate the situation through explanation and offers within her authority. Shows empathy and patience despite repeated interruptions and hostility. Tries to maintain professionalism but appears overwhelmed by the speaker’s intensity.;
Ses03M_impro06;M;Deeply grieving and guilt-ridden, he struggles to reconcile the memory of his best friend with the tragic consequences of his friend's actions. Emotionally overwhelmed, he expresses regret, self-blame, and existential reflection about life choices and purpose.;
Ses03M_impro06;F;Supportive and empathetic, she listens patiently and offers comfort. Her responses are compassionate and validating, aimed at easing the speaker's emotional turmoil. She encourages hope and purpose while respecting his grief.;
Ses03M_impro07;M;Excited, proud, and slightly overwhelmed, he shares his major achievement with enthusiasm. He is optimistic about the future, eager to embrace new opportunities, and values the support and connection with the listener.;
Ses03M_impro07;F;Genuinely joyful and proud, she celebrates the speaker's success enthusiastically. Her energy is supportive and affectionate, highlighting a strong bond and shared excitement for the future.;
Ses03M_impro08a;M;The speaker is calm, professional, and patient despite facing aggressive and repeated complaints. He attempts to de-escalate the situation by offering solutions, such as providing a free phone, waiving fees, and giving a phone card. However, he shows signs of frustration and defensiveness, especially when accused of incompetence or when his authority is questioned.;
Ses03M_impro08a;F;The speaker is highly emotional, frustrated, and assertive. She expresses a strong sense of urgency and desperation about her phone service, which is central to her livelihood. She is vocal, demanding, and skeptical of offered solutions, escalating the conflict when her expectations aren't met. Her responses suggest deep dissatisfaction and distrust in the service provider.;
Ses03M_impro08b;M;Patient and professional, tries to stay calm and helpful despite frustration from caller, attempts to offer solutions and maintain rapport, slightly formal but empathetic, focuses on resolving issue and reassuring customer.;
Ses03M_impro08b;F;Frustrated and impatient due to ongoing technical problems, clearly stressed and feels burdened by the situation, assertive and demanding, emphasizing urgency and personal stakes, pragmatic, wants straightforward solutions and minimal complications.;
Ses03M_script01_1;M;Reflective and somewhat resigned, struggles with family tension and emotional complexity, expresses a desire for honesty and resolution, shows vulnerability but also determination to move forward, considerate but conflicted.;
Ses03M_script01_1;F;Protective and emotionally invested in family dynamics, cautious about change and sensitive to others’ feelings, grounded in tradition and memories, tries to reason and mitigate conflict, expresses concern and uncertainty about future decisions.;
Ses03M_script01_2;M;Pragmatic and restrained, often deflecting emotional intensity, tries to maintain calm and rationality, reluctant to engage deeply with emotional or faith-based arguments, shows signs of internal conflict and possible guilt, prefers to avoid confrontation but is firm when challenged.;
Ses03M_script01_2;F;Emotionally intense and passionate, deeply invested in faith and hope, confrontational and persistent in defending beliefs, vulnerable yet strong-willed, expresses desperation and fear of loss, relies on faith as an anchor and source of strength, seeks emotional support and validation.;
Ses03M_script01_3;M;Reflective and burdened by past trauma, struggles with feelings of shame and alienation from normal life, deeply values loyalty and camaraderie, emotionally guarded but capable of expressing love and vulnerability, conflicted between duty and personal desires, desires new beginnings and healing.;
Ses03M_script01_3;F;Supportive yet independent, observant of social dynamics and tensions, grounded and realistic but with emotional depth, values love and connection but is cautious, desires clarity and honesty, shows patience and understanding, willing to confront difficult truths, nurturing but firm in relationships.;
Ses03M_script02_1;M;Expressive and enthusiastic, often talks at length about the event and its meaning. Shows excitement and romanticizes nature. Playful and somewhat forgetful (e.g., flashlight, six-pack). Tries to engage and convince the other speaker, but sometimes misses cues about their disinterest. Reflects a hopeful and optimistic personality.;
Ses03M_script02_1;F;Reserved and pragmatic, tends to give short or dismissive replies. Shows discomfort and coldness both physically and emotionally. Less enthusiastic about the event, skeptical about its significance. Sensitive to perceived possessiveness (flashlight ownership). Exhibits frustration and reluctance, possibly feeling disconnected or disappointed.;
Ses03M_script02_2;M;Persistent and somewhat oblivious to partner's mood. Attempts to rationalize and defend excitement with facts or enthusiasm. Shows concern but can be awkward when addressing emotional cues (asking about period). Reflects confusion and desire to fix or understand the relationship tension.;
Ses03M_script02_2;F;Cynical and emotionally withdrawn, expresses skepticism about the event and relationship. Feels let down by repeated disappointment, expresses feelings indirectly. Defensive and irritated when probed about mood. Reveals deeper emotional pain masked by sarcasm and resignation.;
Ses03M_script03_1;M;Reflective and flippant, tends to use humor and irony to cope with serious feelings. Philosophical about love and existence but avoids deep seriousness. Protective, tolerant of partner’s freedom, and playful even in tense moments.;
Ses03M_script03_1;F;More serious and emotionally cautious, often concerned about reality and permanence of happiness. Expresses vulnerability and a desire for stability but also embraces wit. Demonstrates passion and strong protective instincts toward the relationship.;
Ses03M_script03_2;M;Jealous and insecure, prone to suspicion and confrontation. Uses sarcasm and defensiveness, yet occasionally shows regret and weariness. Has a temper but tries to maintain control. Struggles with trust and emotional turbulence.;
Ses03M_script03_2;F;Independent and assertive, unwilling to be controlled or judged. Defiant and confrontational when challenged. Shows emotional resilience and blunt honesty. Expresses frustration clearly, pushing back against accusations with confidence and sarcasm.;
Ses04F_impro01;M;Authoritative and impatient, enforces rules strictly, shows frustration dealing with repeated mistakes, prioritizes own workload over empathy, limited willingness to help, blunt and defensive tone.;
Ses04F_impro01;F;Frustrated and persistent, feels overwhelmed by bureaucracy, desires understanding and assistance, emphasizes personal responsibilities and time constraints, polite but increasingly desperate and pleading.;
Ses04F_impro02;M;Emotionally conflicted and worried, expresses fear of family disruption, somewhat controlling in advising against departure, struggles to accept situation, shows vulnerability beneath tough exterior.;
Ses04F_impro02;F;Resigned but determined, feels compelled by duty despite personal sacrifice, seeks reassurance and trust, tries to maintain hope and optimism, shows emotional burden of separation but remains firm in decision.;
Ses04F_impro03;M;Supportive and humorous, tries to stay positive and engaged, playful but sometimes a bit self-centered in suggestions, values friendship deeply, somewhat reluctant but willing to help, candid about personal life, occasionally awkward expressing emotions.;
Ses04F_impro03;F;Excited and optimistic, detail-oriented and organized about event planning, assertive and clear about preferences, warm and playful with humor, values friendship and involvement, confident about life milestones, maintains good humor despite minor disagreements.;
Ses04F_impro04;M;Dismissive and somewhat insensitive initially, offers minimal emotional support, uses humor and vague advice, appears detached from the other's struggles, reluctant to engage deeply, somewhat passive-aggressive in tone.;
Ses04F_impro04;F;Frustrated and exhausted by prolonged difficulties, persistent and determined, emotionally vulnerable, seeks concrete advice and support, tries to explain her efforts clearly, feels misunderstood and underappreciated, direct and honest about feelings.;
Ses04F_impro05;M;Calm and professional, attempts to de-escalate conflict, polite but firm, follows company policy strictly, tries to manage the conversation without conceding much, maintains control as a supervisor.;
Ses04F_impro05;F;Frustrated and emotional, insistent on compensation, feels wronged and undervalued, demands accountability, persistent and somewhat confrontational, refuses to accept unsatisfactory offers, threatens legal action.;
Ses04F_impro06;M;Empathetic and supportive, tries to comfort with personal experience, patient listener, acknowledges pain and loss, encourages acceptance and celebration of life, offers gentle reassurance.;
Ses04F_impro06;F;Grieving and vulnerable, expresses sadness and unfairness, emotional but open to comfort, nostalgic and reflective, appreciates support and presence, shows some acceptance of loss.;
Ses04F_impro07;M;Friendly and casual, uses humor to lighten mood, supportive and congratulatory, playful but caring, tries to protect friend with concern for safety, informal tone.;
Ses04F_impro07;F;Excited and optimistic, proud of achievement, joyful and talkative, confident about future, receptive to humor, relaxed and sociable.;
Ses04F_impro08;M;Frustrated and impatient, feels misunderstood and disrespected, direct but struggles to stay calm, sensitive about the situation, expresses distrust towards corporate process, shows vulnerability mixed with anger, seeks quick resolution without repetition.;
Ses04F_impro08;F;Polite, professional, patient, and empathetic, tries to calm the caller and offer solutions, maintains a composed tone despite provocation, attempts to manage the situation diplomatically, willing to assist but constrained by procedures, uses conciliatory language.;
Ses04F_script01_1;M;Reflective and emotionally burdened, struggles with unresolved grief and family tensions, tries to rationalize painful truths but is sensitive, expresses care but also frustration shows deep concern for others' feelings, contemplative and serious.;
Ses04F_script01_1;F;Protective and cautious, tries to maintain family harmony, emotionally engaged but sometimes avoids confrontation, emphasizes hope and denial in coping, practical yet empathetic, expresses worry and seeks to shield others from harsh realities.;
Ses04F_script01_2;M;Pragmatic and calm, tries to reason and soothe tension, somewhat reserved about feelings, cautious but supportive, tries to keep peace.;
Ses04F_script01_2;F;Emotional and intense, deeply hopeful and faithful, struggles with anxiety and fear of loss, passionate about belief and loyalty, feels vulnerable and demands support.;
Ses04F_script01_3;M;Reflective and burdened by past trauma, conflicted about civilian life versus wartime experiences, expresses love openly but awkwardly, values responsibility and loyalty, somewhat ashamed but determined.;
Ses04F_script01_3;F;Independent but vulnerable, cautious about acceptance by others, emotionally strong yet holds unresolved feelings, desires honesty and clarity, supportive and nurturing, challenges partner to open up.;
Ses04F_script02_1;M;Expressive and enthusiastic, deeply engaged with natural phenomena, reflective and poetic. Shows care and attentiveness toward partner, sometimes playful and self-deprecating. Persistent optimism, imaginative, and values shared experiences.;
Ses04F_script02_1;F;Pragmatic and reserved, often skeptical and less enthusiastic. Focused on comfort and practicalities. Shows mild irritation at perceived possessiveness, values fairness and shared ownership. Tends to be realistic, sometimes dismissive of romanticized views.;
Ses04F_script02_2;M;Patient but confused by partner's mood, tries to maintain optimism and rationalize the event scientifically. Shows concern and desire to connect emotionally. Reflective about relationship and past shared moments, attempts to understand partner's frustrations.;
Ses04F_script02_2;F;Frustrated and emotionally guarded, feels misunderstood and reluctant to explain feelings. Disillusioned with repeated disappointments, nostalgic about happier past experiences. Communicates indirectly, indicating emotional distance and inner conflict.;
Ses04F_script03_1;M;Philosophical yet flippant, often uses humor and irony to cope with serious emotions, shows deep love mixed with cynicism, confident and playful, but capable of vulnerability, embraces superficiality as a defense, expresses acceptance of life’s absurdities, sometimes provocative and dramatic.;
Ses04F_script03_1;F;Worried and emotionally expressive, oscillates between hope and despair, pragmatic about love’s difficulties but deeply attached, tends to be serious and reflective, shows affection with a mix of tenderness and sharpness, capable of playfulness but also fearfulness, tends to be cautious and sometimes resigned.;
Ses04F_script03_2;M;Jealous, confrontational, and sarcastic, struggles with insecurity but masks it with biting humor, tends to be controlling and dismissive, somewhat self-pitying and prone to irritation, uses sarcasm to provoke and challenge, shows a mixture of vulnerability and aggressiveness, persistent despite tension.;
Ses04F_script03_2;F;Defensive, sharp-tongued, and emotionally volatile, quick to reject blame and confront accusations, playful yet biting in repartee, shows frustration and disdain but also moments of wit, resists control and asserts independence, emotionally reactive and fiercely protective of herself, struggles with conflict but expresses it openly.;
Ses04M_impro01;M;Frustrated and impatient, attempts to bypass official procedures by persuading the clerk, shows persistence and entitlement, uses humor and attempts bribery, becomes increasingly rude and disrespectful when denied.;
Ses04M_impro01;F;Firm and rule-bound, maintains professional boundaries despite pressure, polite but assertive, emphasizes procedure and fairness, shows patience but clearly sets limits, hints at personal stress yet remains composed.;
Ses04M_impro02;M;Resigned yet conflicted, feels duty-bound and constrained by external commitments, tries to reassure partner but appears emotionally distant and powerless, shows some vulnerability and internal struggle over leaving family.;
Ses04M_impro02;F;Emotional and pleading, seeks reassurance and partnership, expresses feelings of abandonment and frustration, challenges partner’s decisions, shows determination to maintain family unity, confronts harsh reality with a mix of hope and despair.;
Ses04M_impro03;M;Expressive and enthusiastic, somewhat informal and spontaneous, uses humor and self-deprecation, values close friendships, slightly uncertain but optimistic about future, playful yet earnest in describing plans.;
Ses04M_impro03;F;Supportive and engaged listener, reacts with surprise and laughter, encouraging and enthusiastic about friend's news, playful teasing but warm and positive, curious and involved in details.;
Ses04M_impro04;M;Frustrated and anxious, feels stuck and helpless, prone to blaming others, defensive and somewhat avoidant of responsibility, emotionally overwhelmed, struggles with acceptance of compromise or change.;
Ses04M_impro04;F;Pragmatic and straightforward, tries to offer practical advice, persistent and slightly firm, challenges excuses, points out personal responsibility, somewhat assertive but caring in tone.;
Ses04M_impro05;M;Direct and slightly irritated, clear about problem but somewhat defensive, expects acknowledgment of fault by airline, slightly formal but growing impatient, focused on issue resolution.;
Ses04M_impro05;M;Persistent and insistent, frustrated but determined to get compensation, somewhat confrontational and dismissive of official policies, attempts to negotiate by bending rules, emotionally charged yet strategic.;
Ses04M_impro05;F;Patient and polite, empathetic yet firm, tries to de-escalate tension, sticks to official policies and procedures, attempts to offer small gestures (coffee) to calm the situation, professional but limited in power.;
Ses04M_impro06;M;Grieving and vulnerable, expresses sadness and confusion, struggles to cope with loss, wishes for magical solutions, honest about emotions, somewhat resigned but seeking comfort.;
Ses04M_impro06;F;Compassionate and supportive, offers sympathy and understanding, patient listener, tries to provide comfort and perspective, gently encourages positive thinking, realistic but caring.;
Ses04M_impro07;M;Excited and hopeful, proud of achievement, enthusiastic about future plans, thoughtful about academic interests, slightly informal but sincere, eager to share good news.;
Ses04M_impro07;F;Supportive and encouraging, curious and engaged, validates speaker’s feelings, interested in details, positive and affirming, friendly conversational style.;
Ses04M_impro08;M;Patient but initially formal, tries to follow procedure but grows informal and somewhat dismissive, shows reluctance and fatigue, ultimately willing to help beyond policy, attempts casual rapport-building at the end.;
Ses04M_impro08;F;Frustrated and persistent, clearly upset by previous automated system, tries to remain polite and patient despite growing tired, firm about her claim, appreciates the help and responds warmly when treated kindly.;
Ses04M_script01_1;M;Pragmatic and realistic, struggles with emotional honesty, wants to face painful truths yet feels torn by family loyalty, cautious but decisive about his future, feels trapped between duty and personal desires, shows vulnerability masked by toughness.;
Ses04M_script01_1;F;Protective and nurturing but also emotionally conflicted, clings to hope and denial regarding loss, cautious about upsetting family dynamics, tends to avoid confrontation and difficult truths, values family legacy and emotional bonds deeply, practical yet sentimental.;
Ses04M_script01_2;M;Defensive and somewhat evasive, uncomfortable discussing feelings openly, tries to keep peace and avoid conflict, pragmatic but uncertain about intentions, appears less emotionally expressive, tends to deflect tension with humor or dismissal.;
Ses04M_script01_2;F;Strong-willed and deeply faithful, holds onto hope and loyalty firmly, confrontational when challenged but emotionally vulnerable underneath, acts as moral anchor and protector of family beliefs, determined to maintain appearances and emotional stability despite internal pain.;
Ses04M_script02_1;M;Enthusiastic and poetic, deeply engaged with nature's mysteries. Shows curiosity and optimism, eager to share wonder and excitement. Reflective and imaginative, tends to romanticize events. Exhibits persistence and a nurturing attitude, trying to comfort and convince. Somewhat forgetful and self-deprecating humor.;
Ses04M_script02_1;F;Pragmatic and skeptical, more grounded and less emotional. Expresses discomfort and impatience, less interested in the event's significance. Sensitive to perceived possessiveness and emotional dynamics. Practical, prioritizes comfort and realistic expectations over idealism. Resistant to enthusiasm, showing cynicism and detachment.;
Ses04M_script02_2;M;Patient and conciliatory, trying to understand partner's mood and frustrations. Attempts to maintain optimism but senses underlying tension. Reflective and communicative, willing to revisit memories to reconnect. Sensitive to emotional shifts and relationship dynamics.;
Ses04M_script02_2;F;Disillusioned and emotionally guarded, expressing frustration and disappointment. Feels misunderstood and irritated by partner’s assumptions. Displays emotional complexity linked to personal issues, revealing vulnerability. Nostalgic yet resigned, longing for past happiness but skeptical about current situation.;
Ses04M_script03_1;M;Philosophical yet flippant, often uses humor to mask deeper anxieties. Shows deep affection but also a casual, irreverent attitude toward love and life. Tends to minimize seriousness and embraces a playful, almost cynical outlook. Loyal and possessive but forgiving and self-deprecating.;
Ses04M_script03_1;F;Wistful and serious, expressing vulnerability beneath a composed exterior. Reflective about love’s impermanence and the inevitability of unhappiness. Combines grace with a touch of melancholy, concerned about stability and consequences. Displays warmth and a strong sense of attachment mixed with realism.;
Ses04M_script03_2;M;Defensive and somewhat jealous, prone to blame and suspicion. Exhibits a sarcastic, confrontational style, often trying to assert control in disputes. Uses humor and provocation but also shows vulnerability through drinking and regret. Reflects frustration with the relationship and a conflicted emotional state.;
Ses04M_script03_2;F;Resilient and assertive, not afraid to confront or challenge. Displays a mix of defiance and exhaustion with the ongoing conflict. Witty and sharp-tongued but also emotionally hurt. Holds firm boundaries and openly expresses disdain for mistreatment, signaling strength and independence despite pain.;
Ses05F_impro01;M;Firm and rule-oriented, insists on following procedures strictly. Shows impatience with noncompliance but maintains professionalism. Feels offended when questioned about compassion. Has little flexibility and prioritizes order and fairness to others in line.;
Ses05F_impro01;F;Persistent and frustrated, trying to navigate a confusing system. Seeks exceptions due to previous misinformation and long wait time. Attempts to appeal emotionally for compassion and special consideration. Shows polite persistence but also some defensiveness.;
Ses05F_impro02;M;Anxious and overwhelmed by impending separation and responsibility. Expresses vulnerability and worry about managing childcare alone. Shows protectiveness and desperation to keep partner from leaving. Struggles with feelings of helplessness but tries to support emotionally.;
Ses05F_impro02;F;Calm but sad and resigned to difficult circumstances. Tries to reassure partner while sharing own fears. Practical and thoughtful about possible solutions. Expresses empathy and attempts to maintain strength despite uncertainty and stress.;
Ses05F_impro03;M;Expressive and supportive, shows excitement and genuine happiness for close friend’s life event. Playful, nostalgic, and a bit teasing about past pacts and future plans. Demonstrates empathy and warmth, offers encouragement and humor in conversation.;
Ses05F_impro03;F;Open and enthusiastic about sharing big personal news. Reflective and slightly surprised by own decisions, expressing uncertainty and excitement about future. Warm, relatable, and humorous, with a grounded, practical outlook on living arrangements and future plans.;
Ses05F_impro04;M;Pragmatic and realistic, tries to provide encouragement despite lacking easy answers. Shows steady support but maintains practical perspective on challenges. Empathetic yet straightforward in dialogue.;
Ses05F_impro04;F;Frustrated and uncertain, expressing emotional vulnerability about life and career difficulties. Feels stuck and discouraged but also reflective on systemic barriers. Honest and candid about struggles in a challenging environment.;
Ses05F_impro05;F;Frustrated and insistent about lost baggage, demands accountability and fair treatment, skeptical about the airline’s response, emotionally invested in sentimental value of belongings, assertive and persistent in seeking resolution.;
Ses05F_impro05;M;Professional and procedural, sticks to company policies and limitations, polite but somewhat detached and constrained by rules, tries to calm the customer while maintaining boundaries, limited power to offer real solutions, somewhat defensive but attempts empathy.;
Ses05F_impro06;M;Empathetic and supportive, tries to comfort and understand the emotional state of the other person. Uses gentle reassurance and offers practical help. Shows patience and active listening, with a calm and caring demeanor.;
Ses05F_impro06;F;Emotionally vulnerable and grieving, speaks with honesty about pain and loss. Reflective and sincere, occasionally struggling to find words but open to sharing feelings. Shows deep attachment and sensitivity toward the deceased and their family.;
Ses05F_impro07;M;Enthusiastic and playful, expresses excitement and joy about shared future plans. Shows a strong desire for closeness and companionship. Talks about practicalities but keeps a lighthearted and supportive tone. Willing to adapt to changes for friendship.;
Ses05F_impro07;F;Optimistic and excited about new opportunities, open to change but careful about living arrangements. Shows independence balanced with desire for support and shared experiences. Expresses hopes clearly and participates actively in planning the future.;
Ses05F_impro08;M;Frustrated and impatient with automated systems, values direct human interaction, persistent in resolving billing issues, vocal about dissatisfaction but appreciative when helped, detail-oriented and insistent on accuracy.;
Ses05F_impro08;F;Patient and empathetic customer service agent, calm under pressure, attempts to reassure and solve problems systematically, uses humor to ease tension, offers proactive solutions like direct contact, polite and professional.;
Ses05F_script01_1;M;Reflective and emotionally conflicted, struggles with family secrets and difficult truths, cautious about confrontation, considerate about others' feelings, desires clarity and resolution, somewhat hesitant but determined.;
Ses05F_script01_1;F;Supportive yet cautious, holds on to hope and denial, protective of family members' feelings, somewhat resistant to facing harsh realities, nurturing and pragmatic, encourages dialogue but avoids direct confrontation.;
Ses05F_script01_2;F;Emotionally intense, deeply loyal, highly faithful, struggles with uncertainty, feels vulnerable and dependent on others for hope, prone to desperation when faced with loss, protective of family honor and faith, tends to seek reassurance.;
Ses05F_script01_2;M;Pragmatic yet empathetic, attempts to calm and reason, somewhat reserved emotionally, shows patience but occasional frustration, tries to mediate conflict, slightly dismissive of emotional outbursts, grounded in reality.;
Ses05F_script01_3;F;Cautious and self-aware, sensitive to social dynamics, values love and loyalty, independent yet vulnerable, emotionally expressive but guarded, honest about past feelings and intentions, supportive and nurturing.;
Ses05F_script01_3;M;Reflective and sincere, burdened by past trauma and loss, struggles with expressing emotions, idealistic about relationships, feels conflicted between personal pain and societal expectations, deeply loyal, desires genuine connection and redemption.;
Ses05F_script02_1;M;Expressive and optimistic, fascinated by nature's mysteries, persistent and hopeful, somewhat forgetful (forgets flashlight, six-pack), tries to share excitement and create a shared experience, playful and caring (offers jacket), poetic and introspective, seeks connection and meaning in events.;
Ses05F_script02_1;F;Pragmatic and reserved, less enthusiastic about the event, grounded in reality, somewhat cold or tired (mentions being cold, wanting to leave), slightly skeptical and dismissive of the excitement, emotionally sensitive to perceived possessiveness, prefers comfort over adventure, occasionally nostalgic but guarded.;
Ses05F_script02_2;M;Patient and inquisitive, attempts to understand partner’s feelings, aware of relationship dynamics, tries to lighten tension with humor, persistent in optimism about event, reflective about past memories, seeks emotional connection, willing to compromise but struggles to grasp partner’s mood.;
Ses05F_script02_2;F;Frustrated and emotionally complex, skeptical and cynical about the event and promises, feels disappointment and unmet expectations, emotionally vulnerable (mentions pregnancy and hopes), struggles to communicate deeper feelings, resistant to reenacting past happy moments, wants emotional honesty and clarity.;
Ses05F_script03_1;F;Playful, witty, self-aware, balances seriousness with humor, emotionally expressive yet practical, values honesty and loyalty, unafraid to confront difficult topics, shows warmth beneath sarcastic exterior.;
Ses05F_script03_1;M;Philosophical, humorous, somewhat cynical but affectionate, embraces life's absurdities with laughter, values love deeply despite acknowledging impermanence, resilient and lighthearted, uses wit to cope with seriousness, committed and protective.;
Ses05F_script03_2;M;Argumentative, jealous, persistent, slightly intoxicated, sarcastic, attempts to dominate conversation, insecure about partner's fidelity, prone to provocation.;
Ses05F_script03_2;F;Defensive, confident, witty, dismissive, emotionally detached, sarcastic, tries to maintain control, weary of conflict, uses humor to deflect tension.;
Ses05M_impro01;M;Frustrated, impatient, persistent, somewhat confrontational, tries to bend rules, sarcastic, feels wronged, unwilling to back down easily.;
Ses05M_impro01;F;Professional, firm, clear boundaries, patient but firm, unyielding, emphasizes rules and procedures, handles confrontation calmly, unpersuaded by emotional appeals.;
Ses05M_impro02;M;Calm and resigned, accepts harsh reality despite distress, responsible and caring about family, tries to reassure and remain strong, practical but feels trapped expresses love and commitment, realistic about dangers but optimistic about his ability.;
Ses05M_impro02;F;Anxious and protective deeply worried about consequences and family impact, seeks alternatives and solutions, emotional but supportive tries to hold onto hope caring and nurturing towards children needs reassurance, struggles with helplessness but remains engaged.;
Ses05M_impro03;M;Excited and joyful, romantic and creative in expressing emotions, values close relationships and friendships, optimistic about future confident and open, reflective and thoughtful about life decisions comfortable sharing feelings values family and tradition.;
Ses05M_impro03;F;Supportive and enthusiastic, interested in details and plans, emotionally expressive and warm, values friendships and social bonds curious and engaged encouraging and happy for others, shows empathy and genuine happiness for speaker’s life events.;
